dataset,task,mechanism,rate,imputer,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,imp_mae_num_mean,imp_mae_num_std,imp_rmse_num_mean,imp_rmse_num_std,imp_acc_cat_mean,imp_acc_cat_std
air_quality_uci,regression,MAR,0.05,knn_5,lightgbm,,,,,,,0.1161,0.0288,0.3345,0.0799,0.998,0.001,45.1505,2.9062,62.6982,3.4783,,
air_quality_uci,regression,MAR,0.05,knn_5,random_forest,,,,,,,0.0793,0.0246,0.2981,0.068,0.9984,0.0007,45.1505,2.9062,62.6982,3.4783,,
air_quality_uci,regression,MAR,0.05,knn_5,ridge_regression,,,,,,,0.6547,0.0158,0.9523,0.0134,0.9842,0.0005,45.1505,2.9062,62.6982,3.4783,,
air_quality_uci,regression,MAR,0.05,knn_7,lightgbm,,,,,,,0.1128,0.0296,0.3251,0.0676,0.9981,0.0008,44.582,3.2972,61.4458,3.8371,,
air_quality_uci,regression,MAR,0.05,knn_7,random_forest,,,,,,,0.08,0.0266,0.2962,0.0703,0.9984,0.0007,44.582,3.2972,61.4458,3.8371,,
air_quality_uci,regression,MAR,0.05,knn_7,ridge_regression,,,,,,,0.6486,0.025,0.9545,0.0064,0.9842,0.0001,44.582,3.2972,61.4458,3.8371,,
air_quality_uci,regression,MAR,0.05,miceforest,lightgbm,,,,,,,0.5041,0.0628,2.2186,0.2747,0.9134,0.0222,48.7058,2.5876,65.2112,2.4966,,
air_quality_uci,regression,MAR,0.05,miceforest,random_forest,,,,,,,0.5187,0.092,2.3365,0.2171,0.9045,0.0192,48.7058,2.5876,65.2112,2.4966,,
air_quality_uci,regression,MAR,0.05,miceforest,ridge_regression,,,,,,,1.793,0.0711,2.963,0.1412,0.8472,0.0162,48.7058,2.5876,65.2112,2.4966,,
air_quality_uci,regression,MAR,0.05,simple_const,lightgbm,,,,,,,0.0973,0.0163,0.3397,0.0478,0.998,0.0006,471.7392,24.8938,493.7305,23.5428,,
air_quality_uci,regression,MAR,0.05,simple_const,random_forest,,,,,,,0.056,0.0154,0.2489,0.0352,0.9989,0.0003,471.7392,24.8938,493.7305,23.5428,,
air_quality_uci,regression,MAR,0.05,simple_const,ridge_regression,,,,,,,1.9333,0.0796,2.6511,0.0519,0.8779,0.0031,471.7392,24.8938,493.7305,23.5428,,
air_quality_uci,regression,MAR,0.05,simple_freq,lightgbm,,,,,,,0.1033,0.0158,0.3362,0.0264,0.998,0.0003,113.6544,3.8347,149.2023,7.0659,,
air_quality_uci,regression,MAR,0.05,simple_freq,random_forest,,,,,,,0.0601,0.0177,0.2459,0.0416,0.9989,0.0004,113.6544,3.8347,149.2023,7.0659,,
air_quality_uci,regression,MAR,0.05,simple_freq,ridge_regression,,,,,,,0.9974,0.0299,1.4688,0.072,0.9624,0.0042,113.6544,3.8347,149.2023,7.0659,,
air_quality_uci,regression,MAR,0.05,simple_mean,lightgbm,,,,,,,0.0998,0.017,0.3351,0.026,0.998,0.0003,117.6161,12.3859,145.491,12.6714,,
air_quality_uci,regression,MAR,0.05,simple_mean,random_forest,,,,,,,0.0535,0.0201,0.2478,0.0469,0.9989,0.0004,117.6161,12.3859,145.491,12.6714,,
air_quality_uci,regression,MAR,0.05,simple_mean,ridge_regression,,,,,,,1.0666,0.0702,1.591,0.1092,0.9558,0.0066,117.6161,12.3859,145.491,12.6714,,
air_quality_uci,regression,MAR,0.05,simple_median,lightgbm,,,,,,,0.0984,0.0165,0.329,0.028,0.9981,0.0003,111.7517,10.905,143.6925,9.9611,,
air_quality_uci,regression,MAR,0.05,simple_median,random_forest,,,,,,,0.0569,0.0171,0.2415,0.0561,0.999,0.0004,111.7517,10.905,143.6925,9.9611,,
air_quality_uci,regression,MAR,0.05,simple_median,ridge_regression,,,,,,,1.0418,0.0666,1.5551,0.1194,0.9578,0.0069,111.7517,10.905,143.6925,9.9611,,
air_quality_uci,regression,MAR,0.1,dropna,lightgbm,,,,,,,0.4838,0.4648,0.9181,0.7357,0.9751,0.0275,,,,,,
air_quality_uci,regression,MAR,0.1,dropna,random_forest,,,,,,,0.1509,0.1219,0.3428,0.333,0.9961,0.0056,,,,,,
air_quality_uci,regression,MAR,0.1,dropna,ridge_regression,,,,,,,0.3955,0.0399,0.5345,0.104,0.9936,0.0027,,,,,,
air_quality_uci,regression,MAR,0.1,iterative,lightgbm,,,,,,,0.2225,0.0398,0.6197,0.0305,0.9933,0.0007,48.6823,4.8353,65.665,6.4302,,
air_quality_uci,regression,MAR,0.1,iterative,random_forest,,,,,,,0.2036,0.0457,0.6744,0.0944,0.992,0.0024,48.6823,4.8353,65.665,6.4302,,
air_quality_uci,regression,MAR,0.1,iterative,ridge_regression,,,,,,,0.9008,0.0314,1.2894,0.1,0.971,0.005,48.6823,4.8353,65.665,6.4302,,
air_quality_uci,regression,MAR,0.1,knn_3,lightgbm,,,,,,,0.3087,0.0406,0.7395,0.0514,0.9905,0.0015,63.6143,0.8482,87.8093,3.3728,,
air_quality_uci,regression,MAR,0.1,knn_3,random_forest,,,,,,,0.2685,0.0536,0.8186,0.0845,0.9883,0.0025,63.6143,0.8482,87.8093,3.3728,,
air_quality_uci,regression,MAR,0.1,knn_3,ridge_regression,,,,,,,0.8688,0.0585,1.3139,0.0596,0.97,0.0023,63.6143,0.8482,87.8093,3.3728,,
air_quality_uci,regression,MAR,0.1,knn_5,lightgbm,,,,,,,0.2925,0.0404,0.7137,0.0484,0.9911,0.0012,60.3808,0.7296,82.4906,2.1264,,
air_quality_uci,regression,MAR,0.1,knn_5,random_forest,,,,,,,0.2496,0.0623,0.7626,0.0802,0.9898,0.0022,60.3808,0.7296,82.4906,2.1264,,
air_quality_uci,regression,MAR,0.1,knn_5,ridge_regression,,,,,,,0.8401,0.0697,1.2701,0.0668,0.972,0.0025,60.3808,0.7296,82.4906,2.1264,,
air_quality_uci,regression,MAR,0.1,knn_7,lightgbm,,,,,,,0.2836,0.0328,0.6867,0.0251,0.9918,0.0005,59.2478,1.4192,80.0068,1.7738,,
air_quality_uci,regression,MAR,0.1,knn_7,random_forest,,,,,,,0.239,0.0567,0.7385,0.0531,0.9905,0.0014,59.2478,1.4192,80.0068,1.7738,,
air_quality_uci,regression,MAR,0.1,knn_7,ridge_regression,,,,,,,0.8287,0.0759,1.2552,0.0741,0.9726,0.0028,59.2478,1.4192,80.0068,1.7738,,
air_quality_uci,regression,MAR,0.1,miceforest,lightgbm,,,,,,,1.0296,0.2136,2.9245,0.2981,0.8501,0.0328,54.8052,5.9738,71.815,6.9174,,
air_quality_uci,regression,MAR,0.1,miceforest,random_forest,,,,,,,1.145,0.1768,3.3407,0.3031,0.8048,0.0377,54.8052,5.9738,71.815,6.9174,,
air_quality_uci,regression,MAR,0.1,miceforest,ridge_regression,,,,,,,1.8878,0.2389,3.3093,0.1812,0.8095,0.0192,54.8052,5.9738,71.815,6.9174,,
air_quality_uci,regression,MAR,0.1,simple_const,lightgbm,,,,,,,0.2057,0.0036,0.618,0.0746,0.9933,0.0015,496.3331,39.163,513.2324,37.3359,,
air_quality_uci,regression,MAR,0.1,simple_const,random_forest,,,,,,,0.1472,0.0071,0.6133,0.0598,0.9934,0.0012,496.3331,39.163,513.2324,37.3359,,
air_quality_uci,regression,MAR,0.1,simple_const,ridge_regression,,,,,,,2.4821,0.2895,3.4112,0.3778,0.7966,0.0415,496.3331,39.163,513.2324,37.3359,,
air_quality_uci,regression,MAR,0.1,simple_freq,lightgbm,,,,,,,0.2119,0.0082,0.6021,0.0255,0.9937,0.0004,126.9437,22.8271,154.0191,24.0313,,
air_quality_uci,regression,MAR,0.1,simple_freq,random_forest,,,,,,,0.176,0.031,0.6185,0.0617,0.9933,0.0014,126.9437,22.8271,154.0191,24.0313,,
air_quality_uci,regression,MAR,0.1,simple_freq,ridge_regression,,,,,,,1.3702,0.0482,2.0261,0.1106,0.9285,0.0085,126.9437,22.8271,154.0191,24.0313,,
air_quality_uci,regression,MAR,0.1,simple_mean,lightgbm,,,,,,,0.2104,0.0053,0.6154,0.0483,0.9934,0.001,124.8701,14.0012,149.7285,13.4166,,
air_quality_uci,regression,MAR,0.1,simple_mean,random_forest,,,,,,,0.1913,0.0172,0.6632,0.0613,0.9923,0.0015,124.8701,14.0012,149.7285,13.4166,,
air_quality_uci,regression,MAR,0.1,simple_mean,ridge_regression,,,,,,,1.3003,0.0837,1.9369,0.1598,0.9344,0.0113,124.8701,14.0012,149.7285,13.4166,,
air_quality_uci,regression,MAR,0.1,simple_median,lightgbm,,,,,,,0.214,0.0078,0.6147,0.0265,0.9934,0.0005,123.9337,18.3594,149.9576,18.4283,,
air_quality_uci,regression,MAR,0.1,simple_median,random_forest,,,,,,,0.1854,0.0374,0.6482,0.0685,0.9926,0.0016,123.9337,18.3594,149.9576,18.4283,,
air_quality_uci,regression,MAR,0.1,simple_median,ridge_regression,,,,,,,1.3137,0.063,1.9607,0.1354,0.9329,0.0099,123.9337,18.3594,149.9576,18.4283,,
air_quality_uci,regression,MAR,0.15,dropna,lightgbm,,,,,,,0.9476,0.2187,1.2462,0.3475,0.8653,0.113,,,,,,
air_quality_uci,regression,MAR,0.15,dropna,random_forest,,,,,,,0.2375,0.1115,0.3637,0.2047,0.9921,0.0044,,,,,,
air_quality_uci,regression,MAR,0.15,dropna,ridge_regression,,,,,,,0.3072,0.1246,0.4102,0.1804,0.9897,0.0035,,,,,,
air_quality_uci,regression,MAR,0.15,iterative,lightgbm,,,,,,,0.3054,0.0721,0.773,0.2601,0.9888,0.0067,49.4899,8.0969,68.8568,11.3604,,
air_quality_uci,regression,MAR,0.15,iterative,random_forest,,,,,,,0.3023,0.0478,0.8822,0.2357,0.9858,0.0071,49.4899,8.0969,68.8568,11.3604,,
air_quality_uci,regression,MAR,0.15,iterative,ridge_regression,,,,,,,0.9879,0.0972,1.5077,0.2479,0.9597,0.014,49.4899,8.0969,68.8568,11.3604,,
air_quality_uci,regression,MAR,0.15,knn_3,lightgbm,,,,,,,0.4499,0.0698,1.0109,0.2072,0.9817,0.0077,90.6951,35.246,122.9061,44.5534,,
air_quality_uci,regression,MAR,0.15,knn_3,random_forest,,,,,,,0.4254,0.0447,1.1489,0.2177,0.9764,0.0095,90.6951,35.246,122.9061,44.5534,,
air_quality_uci,regression,MAR,0.15,knn_3,ridge_regression,,,,,,,1.1196,0.3334,1.7303,0.4789,0.9451,0.032,90.6951,35.246,122.9061,44.5534,,
air_quality_uci,regression,MAR,0.15,knn_5,lightgbm,,,,,,,0.4245,0.0756,0.9892,0.202,0.9825,0.0073,87.0053,34.8145,118.0889,45.1093,,
air_quality_uci,regression,MAR,0.15,knn_5,random_forest,,,,,,,0.4228,0.0696,1.15,0.2675,0.9761,0.0116,87.0053,34.8145,118.0889,45.1093,,
air_quality_uci,regression,MAR,0.15,knn_5,ridge_regression,,,,,,,1.0906,0.3502,1.697,0.4945,0.9469,0.0324,87.0053,34.8145,118.0889,45.1093,,
air_quality_uci,regression,MAR,0.15,knn_7,lightgbm,,,,,,,0.4131,0.0702,0.961,0.189,0.9835,0.0068,84.5327,34.437,114.6267,45.2204,,
air_quality_uci,regression,MAR,0.15,knn_7,random_forest,,,,,,,0.4236,0.0975,1.1378,0.291,0.9764,0.0126,84.5327,34.437,114.6267,45.2204,,
air_quality_uci,regression,MAR,0.15,knn_7,ridge_regression,,,,,,,1.0725,0.3531,1.6789,0.4961,0.9479,0.0322,84.5327,34.437,114.6267,45.2204,,
air_quality_uci,regression,MAR,0.15,miceforest,lightgbm,,,,,,,1.5088,0.4776,3.8909,1.5272,0.708,0.228,58.528,8.9018,80.1778,12.0798,,
air_quality_uci,regression,MAR,0.15,miceforest,random_forest,,,,,,,1.6923,0.2775,4.2888,1.4109,0.6554,0.2309,58.528,8.9018,80.1778,12.0798,,
air_quality_uci,regression,MAR,0.15,miceforest,ridge_regression,,,,,,,2.2928,0.1713,3.7535,0.2855,0.754,0.0394,58.528,8.9018,80.1778,12.0798,,
air_quality_uci,regression,MAR,0.15,simple_const,lightgbm,,,,,,,0.3236,0.0637,0.8089,0.2191,0.988,0.0063,503.7673,56.9653,522.4499,56.9803,,
air_quality_uci,regression,MAR,0.15,simple_const,random_forest,,,,,,,0.2799,0.1014,0.8702,0.333,0.9855,0.0101,503.7673,56.9653,522.4499,56.9803,,
air_quality_uci,regression,MAR,0.15,simple_const,ridge_regression,,,,,,,2.5512,0.1809,3.4039,0.1921,0.7982,0.0252,503.7673,56.9653,522.4499,56.9803,,
air_quality_uci,regression,MAR,0.15,simple_freq,lightgbm,,,,,,,0.3269,0.0608,0.7946,0.2088,0.9885,0.0058,140.3697,33.3047,174.1717,32.5177,,
air_quality_uci,regression,MAR,0.15,simple_freq,random_forest,,,,,,,0.2978,0.0717,0.8702,0.2354,0.9861,0.0072,140.3697,33.3047,174.1717,32.5177,,
air_quality_uci,regression,MAR,0.15,simple_freq,ridge_regression,,,,,,,1.5654,0.1169,2.2673,0.2171,0.91,0.0179,140.3697,33.3047,174.1717,32.5177,,
air_quality_uci,regression,MAR,0.15,simple_mean,lightgbm,,,,,,,0.3199,0.0568,0.7901,0.1876,0.9887,0.0053,139.817,19.4143,169.8573,19.5386,,
air_quality_uci,regression,MAR,0.15,simple_mean,random_forest,,,,,,,0.3045,0.0628,0.8732,0.2202,0.9861,0.007,139.817,19.4143,169.8573,19.5386,,
air_quality_uci,regression,MAR,0.15,simple_mean,ridge_regression,,,,,,,1.5382,0.1869,2.2231,0.2837,0.913,0.0224,139.817,19.4143,169.8573,19.5386,,
air_quality_uci,regression,MAR,0.15,simple_median,lightgbm,,,,,,,0.3305,0.0497,0.8077,0.1746,0.9883,0.0049,135.9691,27.1815,167.7294,27.7418,,
air_quality_uci,regression,MAR,0.15,simple_median,random_forest,,,,,,,0.3118,0.0606,0.9047,0.2252,0.9851,0.0072,135.9691,27.1815,167.7294,27.7418,,
air_quality_uci,regression,MAR,0.15,simple_median,ridge_regression,,,,,,,1.5214,0.1618,2.2275,0.2806,0.9127,0.022,135.9691,27.1815,167.7294,27.7418,,
air_quality_uci,regression,MAR,0.2,dropna,lightgbm,,,,,,,1.4507,1.1371,2.0329,1.1439,0.5933,0.2767,,,,,,
air_quality_uci,regression,MAR,0.2,dropna,random_forest,,,,,,,0.3365,0.2644,0.6335,0.5739,0.9718,0.0146,,,,,,
air_quality_uci,regression,MAR,0.2,dropna,ridge_regression,,,,,,,0.3916,0.3125,0.4727,0.328,0.981,0.0103,,,,,,
air_quality_uci,regression,MAR,0.2,iterative,lightgbm,,,,,,,0.3233,0.0724,0.6945,0.1683,0.9913,0.0041,54.2888,6.2355,73.335,8.1784,,
air_quality_uci,regression,MAR,0.2,iterative,random_forest,,,,,,,0.3175,0.083,0.7685,0.1999,0.9893,0.005,54.2888,6.2355,73.335,8.1784,,
air_quality_uci,regression,MAR,0.2,iterative,ridge_regression,,,,,,,0.9793,0.058,1.3776,0.1092,0.9669,0.0047,54.2888,6.2355,73.335,8.1784,,
air_quality_uci,regression,MAR,0.2,knn_3,lightgbm,,,,,,,0.5498,0.1504,1.0971,0.2929,0.9781,0.012,133.0831,43.5382,169.0136,47.7024,,
air_quality_uci,regression,MAR,0.2,knn_3,random_forest,,,,,,,0.5398,0.16,1.2561,0.3498,0.9711,0.0164,133.0831,43.5382,169.0136,47.7024,,
air_quality_uci,regression,MAR,0.2,knn_3,ridge_regression,,,,,,,1.6361,0.413,2.4439,0.6173,0.8917,0.0558,133.0831,43.5382,169.0136,47.7024,,
air_quality_uci,regression,MAR,0.2,knn_5,lightgbm,,,,,,,0.5107,0.1238,1.0305,0.2457,0.9809,0.0094,128.5839,43.366,162.6791,47.3891,,
air_quality_uci,regression,MAR,0.2,knn_5,random_forest,,,,,,,0.5062,0.1442,1.1735,0.3134,0.9749,0.0138,128.5839,43.366,162.6791,47.3891,,
air_quality_uci,regression,MAR,0.2,knn_5,ridge_regression,,,,,,,1.565,0.4181,2.3485,0.6067,0.8998,0.0523,128.5839,43.366,162.6791,47.3891,,
air_quality_uci,regression,MAR,0.2,knn_7,lightgbm,,,,,,,0.5052,0.1265,1.0291,0.2415,0.9809,0.0091,126.5166,44.0197,159.8174,48.3096,,
air_quality_uci,regression,MAR,0.2,knn_7,random_forest,,,,,,,0.4876,0.1382,1.1572,0.2746,0.9759,0.0115,126.5166,44.0197,159.8174,48.3096,,
air_quality_uci,regression,MAR,0.2,knn_7,ridge_regression,,,,,,,1.53,0.398,2.2906,0.5598,0.9051,0.0465,126.5166,44.0197,159.8174,48.3096,,
air_quality_uci,regression,MAR,0.2,miceforest,lightgbm,,,,,,,1.6352,0.183,3.5577,0.2297,0.7798,0.0256,72.9493,13.2895,98.4433,18.1501,,
air_quality_uci,regression,MAR,0.2,miceforest,random_forest,,,,,,,1.8606,0.2977,4.1273,0.2407,0.7038,0.0303,72.9493,13.2895,98.4433,18.1501,,
air_quality_uci,regression,MAR,0.2,miceforest,ridge_regression,,,,,,,2.6469,0.098,3.9905,0.4035,0.7221,0.053,72.9493,13.2895,98.4433,18.1501,,
air_quality_uci,regression,MAR,0.2,simple_const,lightgbm,,,,,,,0.2908,0.065,0.6237,0.1281,0.9931,0.0026,512.5417,52.0158,536.0678,50.8693,,
air_quality_uci,regression,MAR,0.2,simple_const,random_forest,,,,,,,0.2641,0.0509,0.6726,0.1456,0.9919,0.0033,512.5417,52.0158,536.0678,50.8693,,
air_quality_uci,regression,MAR,0.2,simple_const,ridge_regression,,,,,,,2.7409,0.3446,3.7149,0.4287,0.7587,0.0534,512.5417,52.0158,536.0678,50.8693,,
air_quality_uci,regression,MAR,0.2,simple_freq,lightgbm,,,,,,,0.3091,0.0728,0.6886,0.1614,0.9915,0.0035,163.0421,36.755,200.5693,36.1115,,
air_quality_uci,regression,MAR,0.2,simple_freq,random_forest,,,,,,,0.2822,0.0622,0.7332,0.1708,0.9903,0.0044,163.0421,36.755,200.5693,36.1115,,
air_quality_uci,regression,MAR,0.2,simple_freq,ridge_regression,,,,,,,1.6637,0.325,2.3404,0.5276,0.902,0.0392,163.0421,36.755,200.5693,36.1115,,
air_quality_uci,regression,MAR,0.2,simple_mean,lightgbm,,,,,,,0.3074,0.0698,0.6742,0.1451,0.9919,0.0031,153.9222,24.5267,186.2931,25.8809,,
air_quality_uci,regression,MAR,0.2,simple_mean,random_forest,,,,,,,0.2913,0.0614,0.7448,0.1475,0.9901,0.0037,153.9222,24.5267,186.2931,25.8809,,
air_quality_uci,regression,MAR,0.2,simple_mean,ridge_regression,,,,,,,1.7011,0.107,2.3528,0.243,0.9034,0.0182,153.9222,24.5267,186.2931,25.8809,,
air_quality_uci,regression,MAR,0.2,simple_median,lightgbm,,,,,,,0.3098,0.0679,0.6879,0.1425,0.9916,0.0031,155.5737,30.204,189.8325,30.53,,
air_quality_uci,regression,MAR,0.2,simple_median,random_forest,,,,,,,0.2832,0.0468,0.7375,0.1338,0.9904,0.0033,155.5737,30.204,189.8325,30.53,,
air_quality_uci,regression,MAR,0.2,simple_median,ridge_regression,,,,,,,1.7084,0.1649,2.3764,0.3097,0.901,0.0235,155.5737,30.204,189.8325,30.53,,
air_quality_uci,regression,MAR,0.25,dropna,lightgbm,,,,,,,1.201,0.7875,1.3122,0.834,-0.1588,0.1986,,,,,,
air_quality_uci,regression,MAR,0.25,dropna,random_forest,,,,,,,0.7586,0.4915,0.9192,0.7167,0.4948,0.1771,,,,,,
air_quality_uci,regression,MAR,0.25,dropna,ridge_regression,,,,,,,0.8145,1.0148,0.8545,1.0723,0.6297,0.4289,,,,,,
air_quality_uci,regression,MAR,0.25,iterative,lightgbm,,,,,,,0.4143,0.0905,0.8475,0.251,0.9868,0.0076,60.1205,9.1865,80.2469,12.8193,,
air_quality_uci,regression,MAR,0.25,iterative,random_forest,,,,,,,0.4084,0.1138,0.9186,0.2813,0.9844,0.0089,60.1205,9.1865,80.2469,12.8193,,
air_quality_uci,regression,MAR,0.25,iterative,ridge_regression,,,,,,,1.0845,0.085,1.5726,0.2183,0.9564,0.0124,60.1205,9.1865,80.2469,12.8193,,
air_quality_uci,regression,MAR,0.25,knn_3,lightgbm,,,,,,,0.75,0.1848,1.4113,0.4602,0.9629,0.0245,124.8415,23.5953,164.3575,32.334,,
air_quality_uci,regression,MAR,0.25,knn_3,random_forest,,,,,,,0.7288,0.2014,1.5411,0.4816,0.956,0.0278,124.8415,23.5953,164.3575,32.334,,
air_quality_uci,regression,MAR,0.25,knn_3,ridge_regression,,,,,,,1.7049,0.4373,2.6475,0.837,0.8701,0.0839,124.8415,23.5953,164.3575,32.334,,
air_quality_uci,regression,MAR,0.25,knn_5,lightgbm,,,,,,,0.7063,0.1726,1.3572,0.4174,0.9659,0.0214,120.4484,20.6822,158.1048,28.9902,,
air_quality_uci,regression,MAR,0.25,knn_5,random_forest,,,,,,,0.702,0.1853,1.4884,0.432,0.9593,0.0241,120.4484,20.6822,158.1048,28.9902,,
air_quality_uci,regression,MAR,0.25,knn_5,ridge_regression,,,,,,,1.6617,0.411,2.5735,0.7717,0.8781,0.0749,120.4484,20.6822,158.1048,28.9902,,
air_quality_uci,regression,MAR,0.25,knn_7,lightgbm,,,,,,,0.6643,0.1549,1.2564,0.3694,0.971,0.0173,118.2162,19.1372,154.6587,26.3302,,
air_quality_uci,regression,MAR,0.25,knn_7,random_forest,,,,,,,0.668,0.1761,1.4146,0.4189,0.9631,0.0219,118.2162,19.1372,154.6587,26.3302,,
air_quality_uci,regression,MAR,0.25,knn_7,ridge_regression,,,,,,,1.6378,0.4053,2.5248,0.7626,0.8825,0.0728,118.2162,19.1372,154.6587,26.3302,,
air_quality_uci,regression,MAR,0.25,miceforest,lightgbm,,,,,,,1.9313,0.2285,3.9786,0.1433,0.7248,0.0215,76.1766,9.5319,101.3545,12.3516,,
air_quality_uci,regression,MAR,0.25,miceforest,random_forest,,,,,,,2.0814,0.1986,4.4071,0.1783,0.6622,0.0289,76.1766,9.5319,101.3545,12.3516,,
air_quality_uci,regression,MAR,0.25,miceforest,ridge_regression,,,,,,,2.7885,0.1212,4.1516,0.1298,0.7005,0.0182,76.1766,9.5319,101.3545,12.3516,,
air_quality_uci,regression,MAR,0.25,simple_const,lightgbm,,,,,,,0.3917,0.1134,0.8474,0.3298,0.9862,0.0104,525.8124,37.8188,551.1919,36.0115,,
air_quality_uci,regression,MAR,0.25,simple_const,random_forest,,,,,,,0.3793,0.1151,0.9086,0.3222,0.9844,0.0106,525.8124,37.8188,551.1919,36.0115,,
air_quality_uci,regression,MAR,0.25,simple_const,ridge_regression,,,,,,,3.3285,0.4448,4.4875,0.6612,0.6446,0.1055,525.8124,37.8188,551.1919,36.0115,,
air_quality_uci,regression,MAR,0.25,simple_freq,lightgbm,,,,,,,0.4117,0.1551,0.8727,0.3549,0.9853,0.0117,157.2663,27.7877,198.1755,24.3554,,
air_quality_uci,regression,MAR,0.25,simple_freq,random_forest,,,,,,,0.4291,0.1787,0.9901,0.4216,0.9809,0.0157,157.2663,27.7877,198.1755,24.3554,,
air_quality_uci,regression,MAR,0.25,simple_freq,ridge_regression,,,,,,,1.7299,0.3829,2.4347,0.6074,0.8925,0.0511,157.2663,27.7877,198.1755,24.3554,,
air_quality_uci,regression,MAR,0.25,simple_mean,lightgbm,,,,,,,0.418,0.1362,0.8818,0.3362,0.9851,0.011,142.106,13.5278,177.0937,15.6522,,
air_quality_uci,regression,MAR,0.25,simple_mean,random_forest,,,,,,,0.4427,0.1919,0.9983,0.4027,0.9808,0.0153,142.106,13.5278,177.0937,15.6522,,
air_quality_uci,regression,MAR,0.25,simple_mean,ridge_regression,,,,,,,1.8286,0.2533,2.5332,0.402,0.8865,0.0361,142.106,13.5278,177.0937,15.6522,,
air_quality_uci,regression,MAR,0.25,simple_median,lightgbm,,,,,,,0.4141,0.1356,0.8762,0.327,0.9854,0.0108,146.6289,17.6227,184.2693,17.8196,,
air_quality_uci,regression,MAR,0.25,simple_median,random_forest,,,,,,,0.4227,0.1673,0.9833,0.3899,0.9814,0.0146,146.6289,17.6227,184.2693,17.8196,,
air_quality_uci,regression,MAR,0.25,simple_median,ridge_regression,,,,,,,1.8064,0.2445,2.525,0.4063,0.8871,0.0364,146.6289,17.6227,184.2693,17.8196,,
air_quality_uci,regression,MAR,0.3,dropna,lightgbm,,,,,,,3.7058,2.2973,4.9289,2.5807,-0.3108,0.773,,,,,,
air_quality_uci,regression,MAR,0.3,dropna,random_forest,,,,,,,0.9255,1.0422,1.394,1.5094,0.3818,1.043,,,,,,
air_quality_uci,regression,MAR,0.3,dropna,ridge_regression,,,,,,,0.9402,0.7047,1.2523,0.9428,0.8912,0.0924,,,,,,
air_quality_uci,regression,MAR,0.3,iterative,lightgbm,,,,,,,0.4759,0.1162,0.8882,0.2246,0.9856,0.0076,54.768,2.6191,70.2739,4.4076,,
air_quality_uci,regression,MAR,0.3,iterative,random_forest,,,,,,,0.4615,0.1107,0.9488,0.2355,0.9836,0.0085,54.768,2.6191,70.2739,4.4076,,
air_quality_uci,regression,MAR,0.3,iterative,ridge_regression,,,,,,,1.1753,0.1717,1.646,0.3118,0.9517,0.0194,54.768,2.6191,70.2739,4.4076,,
air_quality_uci,regression,MAR,0.3,knn_3,lightgbm,,,,,,,0.7736,0.1051,1.3334,0.2286,0.9685,0.0111,97.3056,2.0815,121.1176,7.6416,,
air_quality_uci,regression,MAR,0.3,knn_3,random_forest,,,,,,,0.7951,0.0786,1.463,0.1805,0.9624,0.0099,97.3056,2.0815,121.1176,7.6416,,
air_quality_uci,regression,MAR,0.3,knn_3,ridge_regression,,,,,,,1.7383,0.1166,2.3337,0.1982,0.9048,0.0176,97.3056,2.0815,121.1176,7.6416,,
air_quality_uci,regression,MAR,0.3,knn_5,lightgbm,,,,,,,0.7046,0.1006,1.2142,0.2133,0.9738,0.0097,95.307,1.6597,118.6089,6.4494,,
air_quality_uci,regression,MAR,0.3,knn_5,random_forest,,,,,,,0.709,0.0822,1.3121,0.1811,0.9697,0.009,95.307,1.6597,118.6089,6.4494,,
air_quality_uci,regression,MAR,0.3,knn_5,ridge_regression,,,,,,,1.7059,0.1333,2.2899,0.2071,0.9083,0.0179,95.307,1.6597,118.6089,6.4494,,
air_quality_uci,regression,MAR,0.3,knn_7,lightgbm,,,,,,,0.6754,0.1059,1.1734,0.2309,0.9754,0.0102,94.5115,1.1989,117.3917,6.3899,,
air_quality_uci,regression,MAR,0.3,knn_7,random_forest,,,,,,,0.6886,0.0983,1.2939,0.2144,0.9703,0.0105,94.5115,1.1989,117.3917,6.3899,,
air_quality_uci,regression,MAR,0.3,knn_7,ridge_regression,,,,,,,1.6874,0.1471,2.2746,0.2151,0.9094,0.0182,94.5115,1.1989,117.3917,6.3899,,
air_quality_uci,regression,MAR,0.3,miceforest,lightgbm,,,,,,,2.0663,0.1204,4.2976,0.04,0.6792,0.0091,78.9007,9.8823,100.7977,11.6581,,
air_quality_uci,regression,MAR,0.3,miceforest,random_forest,,,,,,,2.1893,0.1711,4.6482,0.1491,0.6244,0.0268,78.9007,9.8823,100.7977,11.6581,,
air_quality_uci,regression,MAR,0.3,miceforest,ridge_regression,,,,,,,2.9216,0.1637,4.1909,0.439,0.6928,0.0614,78.9007,9.8823,100.7977,11.6581,,
air_quality_uci,regression,MAR,0.3,simple_const,lightgbm,,,,,,,0.4273,0.1147,0.805,0.1967,0.9883,0.006,466.8524,10.4795,485.0918,10.8688,,
air_quality_uci,regression,MAR,0.3,simple_const,random_forest,,,,,,,0.4171,0.0391,0.8832,0.106,0.9863,0.0036,466.8524,10.4795,485.0918,10.8688,,
