dataset,mechanism,rate,imputer,model,mae,rmse,r2
air_quality_uci,MNAR,0.1,simple,random_forest,0.13286505914893593,0.3295968552639716,0.9981741802767901
air_quality_uci,MNAR,0.1,iterative,ridge_regression,0.5306628641707388,0.7218115279416253,0.991243321537329
air_quality_uci,MNAR,0.1,iterative,random_forest,0.13627928646084214,0.3146381132172276,0.9983361489940753
air_quality_uci,MNAR,0.15,simple,ridge_regression,1.0479177206176782,1.3136358672288007,0.9709970769000149
air_quality_uci,MNAR,0.15,simple,random_forest,0.137427851439304,0.2886997930782519,0.9985991723008318
air_quality_uci,MNAR,0.15,iterative,ridge_regression,0.5368614769834181,0.7189432697897953,0.9913127759889147
air_quality_uci,MNAR,0.15,iterative,random_forest,0.15839471275219466,0.3440163614153792,0.9980109304377435
air_quality_uci,MNAR,0.2,simple,ridge_regression,1.0920421972986087,1.3441894654040143,0.9696322405687816
air_quality_uci,MNAR,0.2,simple,random_forest,0.18769937174585152,0.4081682419775832,0.9971999215626096
air_quality_uci,MNAR,0.2,iterative,ridge_regression,0.5537692446392355,0.7435749188515922,0.990707314478891
air_quality_uci,MNAR,0.2,iterative,random_forest,0.15775415787285837,0.3064644495528951,0.9984214731223108
air_quality_uci,MNAR,0.25,simple,ridge_regression,0.9145265280413911,1.1786074247519367,0.9766530517465078
air_quality_uci,MNAR,0.25,simple,random_forest,0.23049029808087346,0.5200294510133104,0.9954548559157983
air_quality_uci,MNAR,0.25,iterative,ridge_regression,0.5732719864221895,0.7768711639431479,0.989856454573376
air_quality_uci,MNAR,0.25,iterative,random_forest,0.20220521842845351,0.3823343054601231,0.9975431518763365
air_quality_uci,MNAR,0.3,simple,ridge_regression,1.1632163700241909,1.412214199065912,0.9664808557096742
air_quality_uci,MNAR,0.3,simple,random_forest,0.23896158556699398,0.47385608107837485,0.9962261494959264
air_quality_uci,MNAR,0.3,iterative,ridge_regression,0.5978036522404202,0.8326234680078908,0.9883483059983924
air_quality_uci,MNAR,0.3,iterative,random_forest,0.2584135901631941,0.5089180441702936,0.995647011955424
