,,,,,,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,imp_mae_num,imp_mae_num,imp_rmse_num,imp_rmse_num,imp_acc_cat,imp_acc_cat,imp_n_num,imp_n_num,imp_n_cat,imp_n_cat,mae,mae,rmse,rmse,r2,r2
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,task,mechanism,rate,imputer,model,,,,,,,,,,,,,,,,,,,,,,
adult,classification,MAR,0.05,knn_5,logistic_regression,0.8058,0.0024,0.7683,0.0029,0.8169,0.0022,14908.412,494.9237,20769.8358,1043.7519,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_5,random_forest,0.7806,0.0037,0.7484,0.0039,0.7953,0.0034,14908.412,494.9237,20769.8358,1043.7519,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_7,lightgbm,0.8291,0.0045,0.7938,0.0049,0.8382,0.0041,14534.2513,354.7251,20304.178,950.6901,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_7,logistic_regression,0.8059,0.0019,0.7684,0.0025,0.817,0.0018,14534.2513,354.7251,20304.178,950.6901,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_7,random_forest,0.7795,0.0082,0.7472,0.0074,0.7943,0.0073,14534.2513,354.7251,20304.178,950.6901,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,miceforest,lightgbm,0.8252,0.0015,0.7876,0.0021,0.8342,0.0015,19169.8652,459.7259,27029.0693,1439.9943,0.0,0.0,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,miceforest,logistic_regression,0.7719,0.0179,0.7285,0.0226,0.7851,0.0172,19169.8652,459.7259,27029.0693,1439.9943,0.0,0.0,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,miceforest,random_forest,0.8023,0.0021,0.7648,0.0019,0.8138,0.0018,19169.8652,459.7259,27029.0693,1439.9943,0.0,0.0,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_const,lightgbm,0.8297,0.0032,0.7943,0.0038,0.8388,0.003,31925.6058,474.927,37786.0091,1016.0129,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_const,logistic_regression,0.8012,0.0025,0.7636,0.0032,0.8128,0.0024,31925.6058,474.927,37786.0091,1016.0129,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
